bioname,url,website
"GOLDEN, Jared",https://www.congress.gov/member/jared-golden/G000592,https://golden.house.gov/
"HOYER, Steny Hamilton",https://www.congress.gov/member/steny-hoyer/H000874,https://hoyer.house.gov/
"MFUME, Kweisi",https://www.congress.gov/member/kweisi-mfume/M000687,https://mfume.house.gov/
"HARRIS, Andy",https://www.congress.gov/member/andy-harris/H001052,https://harris.house.gov/
"RASKIN, Jamie Ben",https://www.congress.gov/member/jamie-raskin/R000606,https://raskin.house.gov/
"IVEY, Glenn",https://www.congress.gov/member/glenn-ivey/I000058,https://ivey.house.gov/
"ELFRETH, Sarah",https://www.congress.gov/member/sarah-elfreth/E000301,https://elfreth.house.gov/
"MCCLAIN DELANEY, April",https://www.congress.gov/member/april-mcclain-delaney/M001232,https://mcclaindelaney.house.gov/
"OLSZEWSKI, Johnny, Jr.",https://www.congress.gov/member/johnny-olszewski/O000176,https://olszewski.house.gov/
"NEAL, Richard Edmund",https://www.congress.gov/member/richard-neal/N000015,https://neal.house.gov/
"LYNCH, Stephen F.",https://www.congress.gov/member/stephen-lynch/L000562,https://lynch.house.gov/
"KEATING, William R.",https://www.congress.gov/member/william-keating/K000375,https://keating.house.gov/
"CLARK, Katherine M.",https://www.congress.gov/member/katherine-clark/C001101,https://katherineclark.house.gov/index.cfm/home
"MOULTON, Seth",https://www.congress.gov/member/seth-moulton/M001196,https://moulton.house.gov/
"PRESSLEY, Ayanna",https://www.congress.gov/member/ayanna-pressley/P000617,https://pressley.house.gov/
"TRAHAN, Lori",https://www.congress.gov/member/lori-trahan/T000482,https://trahan.house.gov/
"AUCHINCLOSS, Jake",https://www.congress.gov/member/jake-auchincloss/A000148,https://auchincloss.house.gov/
"McGOVERN, James P.",https://www.congress.gov/member/james-mcgovern/M000312,https://mcgovern.house.gov/
"WALBERG, Tim",https://www.congress.gov/member/tim-walberg/W000798,https://walberg.house.gov/
"HUIZENGA, Bill",https://www.congress.gov/member/bill-huizenga/H001058,https://huizenga.house.gov/
"MOOLENAAR, John",https://www.congress.gov/member/john-moolenaar/M001194,https://moolenaar.house.gov/
"DINGELL, Debbie",https://www.congress.gov/member/debbie-dingell/D000624,https://debbiedingell.house.gov/
"BERGMAN, John",https://www.congress.gov/member/jack-bergman/B001301,https://bergman.house.gov/
"STEVENS, Haley",https://www.congress.gov/member/haley-stevens/S001215,https://stevens.house.gov/
"TLAIB, Rashida",https://www.congress.gov/member/rashida-tlaib/T000481,https://tlaib.house.gov/
"MCCLAIN, Lisa C.",https://www.congress.gov/member/lisa-mcclain/M001136,https://mcclain.house.gov/
"JAMES, John",https://www.congress.gov/member/john-james/J000307,https://james.house.gov/
"SCHOLTEN, Hillary",https://www.congress.gov/member/hillary-scholten/S001221,https://scholten.house.gov/
"THANEDAR, Shri",https://www.congress.gov/member/shri-thanedar/T000488,https://thanedar.house.gov/
"BARRETT, Tom",https://www.congress.gov/member/tom-barrett/B001321,https://barrett.house.gov/
"MCDONALD RIVET, Kristen",https://www.congress.gov/member/kristen-mcdonald-rivet/M001237,https://mcdonaldrivet.house.gov/
"McCOLLUM, Betty",https://www.congress.gov/member/betty-mccollum/M001143,https://mccollum.house.gov/
"EMMER, Thomas Earl II",https://www.congress.gov/member/tom-emmer/E000294,https://emmer.house.gov/
"CRAIG, Angela",https://www.congress.gov/member/angie-craig/C001119,https://craig.house.gov/
"OMAR, Ilhan",https://www.congress.gov/member/ilhan-omar/O000173,https://omar.house.gov/
"STAUBER, Peter",https://www.congress.gov/member/pete-stauber/S001212,https://stauber.house.gov/
"FISCHBACH, Michelle",https://www.congress.gov/member/michelle-fischbach/F000470,https://fischbach.house.gov/
"FINSTAD, Brad",https://www.congress.gov/member/brad-finstad/F000475,https://finstad.house.gov/
"MORRISON, Kelly",https://www.congress.gov/member/kelly-morrison/M001234,https://morrison.house.gov/
"KELLY, Trent",https://www.congress.gov/member/trent-kelly/K000388,https://trentkelly.house.gov/
"GUEST, Michael",https://www.congress.gov/member/michael-guest/G000591,https://guest.house.gov/
"EZELL, Mike",https://www.congress.gov/member/mike-ezell/E000235,https://ezell.house.gov/
"THOMPSON, Bennie",https://www.congress.gov/member/bennie-thompson/T000193,https://benniethompson.house.gov/
"GRAVES, Samuel",https://www.congress.gov/member/sam-graves/G000546,https://graves.house.gov/
"CLEAVER, Emanuel, II",https://www.congress.gov/member/emanuel-cleaver/C001061,https://cleaver.house.gov/
