bioname,url
"FOUSHEE, Valerie",https://www.congress.gov/member/valerie-foushee/F000477
"HARRIGAN, Pat",https://www.congress.gov/member/pat-harrigan/H001101
"HARRIS, Mark",https://www.congress.gov/member/mark-harris/H001102
"KNOTT, Brad",https://www.congress.gov/member/brad-knott/K000405
"MCDOWELL, Addison P.",https://www.congress.gov/member/addison-mcdowell/M001240
"MOORE, Tim",https://www.congress.gov/member/tim-moore/M001236
"FEDORCHAK, Julie",https://www.congress.gov/member/julie-fedorchak/F000482
"KAPTUR, Marcia Carolyn (Marcy)",https://www.congress.gov/member/marcy-kaptur/K000009
"TURNER, Michael R.",https://www.congress.gov/member/michael-turner/T000463
"JORDAN, Jim",https://www.congress.gov/member/jim-jordan/J000289
"LATTA, Robert E.",https://www.congress.gov/member/robert-latta/L000566
"BEATTY, Joyce",https://www.congress.gov/member/joyce-beatty/B001281
"JOYCE, David",https://www.congress.gov/member/david-joyce/J000295
"DAVIDSON, Warren",https://www.congress.gov/member/warren-davidson/D000626
"BALDERSON, Troy",https://www.congress.gov/member/troy-balderson/B001306
"BROWN, Shontel  M.",https://www.congress.gov/member/shontel-brown/B001313
"CAREY, Mike",https://www.congress.gov/member/mike-carey/C001126
"LANDSMAN, Greg",https://www.congress.gov/member/greg-landsman/L000601
"MILLER, Max",https://www.congress.gov/member/max-miller/M001222
"SYKES, Emilia",https://www.congress.gov/member/emilia-sykes/S001223
"RULLI, Michael A.",https://www.congress.gov/member/michael-rulli/R000619
"TAYLOR, David J.",https://www.congress.gov/member/david-taylor/T000490
"COLE, Tom",https://www.congress.gov/member/tom-cole/C001053
"HERN, Kevin",https://www.congress.gov/member/kevin-hern/H001082
"BICE, Stephanie I.",https://www.congress.gov/member/stephanie-bice/B000740
"BRECHEEN, Josh",https://www.congress.gov/member/josh-brecheen/B001317
"LUCAS, Frank D.",https://www.congress.gov/member/frank-lucas/L000491
"BONAMICI, Suzanne",https://www.congress.gov/member/suzanne-bonamici/B001278
"BENTZ, Cliff",https://www.congress.gov/member/cliff-bentz/B000668
"HOYLE, Val",https://www.congress.gov/member/val-hoyle/H001094
"SALINAS, Andrea",https://www.congress.gov/member/andrea-salinas/S001226
"BYNUM, Janelle S.",https://www.congress.gov/member/janelle-bynum/B001326
"DEXTER, Maxine",https://www.congress.gov/member/maxine-dexter/D000635
"THOMPSON, Glenn",https://www.congress.gov/member/glenn-thompson/T000467
"KELLY, Mike",https://www.congress.gov/member/mike-kelly/K000376
"PERRY, Scott",https://www.congress.gov/member/scott-perry/P000605
"BOYLE, Brendan Francis",https://www.congress.gov/member/brendan-boyle/B001296
"EVANS, Dwight",https://www.congress.gov/member/dwight-evans/E000296
"FITZPATRICK, Brian K.",https://www.congress.gov/member/brian-fitzpatrick/F000466
"SMUCKER, Lloyd K.",https://www.congress.gov/member/lloyd-smucker/S001199
"SCANLON, Mary Gay",https://www.congress.gov/member/mary-scanlon/S001205
"DEAN, Madeleine",https://www.congress.gov/member/madeleine-dean/D000631
"HOULAHAN, Christina",https://www.congress.gov/member/chrissy-houlahan/H001085
"JOYCE, John",https://www.congress.gov/member/john-joyce/J000302
"MEUSER, Dan",https://www.congress.gov/member/daniel-meuser/M001204
"RESCHENTHALER, Guy",https://www.congress.gov/member/guy-reschenthaler/R000610
"DELUZIO, Chris",https://www.congress.gov/member/christopher-deluzio/D000530
"LEE, Summer",https://www.congress.gov/member/summer-lee/L000602
"BRESNAHAN, Robert P., Jr.",https://www.congress.gov/member/robert-bresnahan/B001327
"MACKENZIE, Ryan",https://www.congress.gov/member/ryan-mackenzie/M001230
"MAGAZINER, Seth",https://www.congress.gov/member/seth-magaziner/M001223
"AMO, Gabe",https://www.congress.gov/member/gabe-amo/A000380
"WILSON, Addison Graves (Joe)",https://www.congress.gov/member/joe-wilson/W000795
"NORMAN, Ralph",https://www.congress.gov/member/ralph-norman/N000190
"TIMMONS, William",https://www.congress.gov/member/william-timmons/T000480
"MACE, Nancy",https://www.congress.gov/member/nancy-mace/M000194
"FRY, Russell",https://www.congress.gov/member/russell-fry/F000478
"BIGGS, Sheri",https://www.congress.gov/member/sheri-biggs/B001325
"CLYBURN, James Enos",https://www.congress.gov/member/james-clyburn/C000537
"JOHNSON, Dustin",https://www.congress.gov/member/dusty-johnson/J000301
"COHEN, Stephen",https://www.congress.gov/member/steve-cohen/C001068
"FLEISCHMANN, Chuck",https://www.congress.gov/member/charles-fleischmann/F000459
"DESJARLAIS, Scott",https://www.congress.gov/member/scott-desjarlais/D000616
"KUSTOFF, David",https://www.congress.gov/member/david-kustoff/K000392
"BURCHETT, Timothy",https://www.congress.gov/member/tim-burchett/B001309
"GREEN, Mark",https://www.congress.gov/member/mark-green/G000590
"ROSE, John",https://www.congress.gov/member/john-rose/R000612
"HARSHBARGER, Diana",https://www.congress.gov/member/diana-harshbarger/H001086
"OGLES, Andy",https://www.congress.gov/member/andrew-ogles/O000175
"CARTER, John R.",https://www.congress.gov/member/john-carter/C001051
"GREEN, Al",https://www.congress.gov/member/al-green/G000553
"McCAUL, Michael T.",https://www.congress.gov/member/michael-mccaul/M001157
"CUELLAR, Henry",https://www.congress.gov/member/henry-cuellar/C001063
"WEBER, Randy",https://www.congress.gov/member/randy-weber/W000814
"CASTRO, Joaquin",https://www.congress.gov/member/joaquin-castro/C001091
"WILLIAMS, Roger",https://www.congress.gov/member/roger-williams/W000816
"VEASEY, Marc",https://www.congress.gov/member/marc-veasey/V000131
"BABIN, Brian",https://www.congress.gov/member/brian-babin/B001291
"ARRINGTON, Jodey Cook",https://www.congress.gov/member/jodey-arrington/A000375
"GONZALEZ, Vicente Jr.",https://www.congress.gov/member/vicente-gonzalez/G000581
"CLOUD, Michael",https://www.congress.gov/member/michael-cloud/C001115
"CRENSHAW, Daniel",https://www.congress.gov/member/dan-crenshaw/C001120
"ESCOBAR, Veronica",https://www.congress.gov/member/veronica-escobar/E000299
"FLETCHER, Elizabeth",https://www.congress.gov/member/lizzie-fletcher/F000468
"GARCIA, Sylvia",https://www.congress.gov/member/sylvia-garcia/G000587
"GOODEN, Lance",https://www.congress.gov/member/lance-gooden/G000589
"ROY, Charles",https://www.congress.gov/member/chip-roy/R000614
"FALLON, Pat",https://www.congress.gov/member/pat-fallon/F000246
"GONZALES, Tony",https://www.congress.gov/member/tony-gonzales/G000594
"JACKSON, Ronny",https://www.congress.gov/member/ronny-jackson/J000304
"NEHLS, Troy E.",https://www.congress.gov/member/troy-nehls/N000026
"PFLUGER, August",https://www.congress.gov/member/august-pfluger/P000048
"VAN DUYNE, Beth",https://www.congress.gov/member/beth-van-duyne/V000134
"ELLZEY, Jake",https://www.congress.gov/member/jake-ellzey/E000071
"CASAR, Greg",https://www.congress.gov/member/greg-casar/C001131
"CROCKETT, Jasmine",https://www.congress.gov/member/jasmine-crockett/C001130
"DE LA CRUZ, Monica",https://www.congress.gov/member/monica-de-la-cruz/D000594
