Election Type,Name Raw,Office,Party,State Name,County,Precinct,State Fip,CountyFIPS 3,Jurisdiction,Votes
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163ONE STOP 4,37,163,ONE STOP 4,1676
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163ONE STOP 1,37,163,ONE STOP 1,4418
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163PLVW,37,163,PLVW,407
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163ONE STOP 5,37,163,ONE STOP 5,1114
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163KEEN,37,163,KEEN,329
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163ONE STOP 2,37,163,ONE STOP 2,285
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163MING,37,163,MING,603
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163AUTR,37,163,AUTR,452
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163KFRK,37,163,KFRK,243
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163ROSE,37,163,ROSE,263
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163SBRG,37,163,SBRG,264
